Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5
2024-02-27 15:16:27,161,84,60,84,126
2024-02-27 15:16:27,156,169,127,118,123
2024-02-27 15:16:27,122,152,86,81,126
2024-02-27 15:16:27,54,108,84,83,49
2024-02-27 15:16:27,90,46,90,83,83
2024-02-27 15:16:27,43,96,51,52,43
2024-02-27 15:16:27,119,130,95,96,96
2024-02-27 15:16:27,46,38,148,84,91
2024-02-27 15:16:27,136,86,95,144,49
2024-02-27 15:16:27,97,134,140,121,84
2024-02-27 15:16:27,94,93,119,72,101
2024-02-27 15:16:27,132,140,119,101,101
2024-02-27 15:16:27,77,76,42,101,127
2024-02-27 15:16:27,42,124,126,73,135
2024-02-27 15:16:27,73,84,78,120,91
2024-02-27 15:16:27,119,84,40,124,43
2024-02-27 15:16:27,94,134,134,74,36
2024-02-27 15:16:27,70,46,90,60,86
2024-02-27 15:16:27,131,131,52,88,109
2024-02-27 15:16:27,119,94,58,58,96
2024-02-27 15:16:27,75,44,105,54,98
2024-02-27 15:16:27,46,46,76,120,61
2024-02-27 15:16:27,45,88,51,91,45
2024-02-27 15:16:27,127,120,83,53,58
2024-02-27 15:16:27,54,89,129,93,96
2024-02-27 15:16:27,127,85,67,121,57
2024-02-27 15:16:27,91,97,104,97,119
2024-02-27 15:16:27,90,86,102,122,59
2024-02-27 15:16:27,92,108,90,98,87
2024-02-27 15:16:27,75,105,93,93,123
2024-02-27 15:16:27,104,99,104,71,103
2024-02-27 15:16:27,99,98,93,98,98
2024-02-27 15:16:27,107,109,91,94,97
2024-02-27 15:16:27,86,103,97,88,93
2024-02-27 15:16:27,109,103,109,109,103
2024-02-27 15:16:27,117,120,115,103,121
2024-02-27 15:16:27,117,113,119,122,114
2024-02-27 15:16:27,126,121,125,122,124
2024-02-27 15:16:27,127,127,127,127,127
2024-02-27 15:16:27,133,134,134,131,128
2024-02-27 15:16:27,130,136,135,130,127
2024-02-27 15:16:27,133,140,140,129,132
2024-02-27 15:16:27,140,158,158,134,134
2024-02-27 15:16:27,170,168,132,140,165
2024-02-27 15:16:27,154,147,150,143,164
2024-02-27 15:16:27,157,157,183,157,145
2024-02-27 15:16:27,176,184,160,164,135
2024-02-27 15:16:27,179,162,191,127,131
2024-02-27 15:16:27,155,159,164,184,127
2024-02-27 15:16:27,164,168,164,159,166
2024-02-27 15:16:27,167,127,150,197,169
2024-02-27 15:16:27,161,194,151,127,188
